title,genres,where_to_watch
Happy Ending,"Psychological, Romance, Supernatural",
Trust Us and Be Patient,"Life, Youth",
Supernatural,"Comedy, Romance, Supernatural",
Scene Number Paran,"Comedy, Romance, Youth",Viki
Super Smart Quiz Show,"Youth, Sci-Fi",
The One Serving House,"Comedy, Romance, Drama",
Nineteen,"Romance, Youth",
Take Care Of The Goddess,"Romance, Drama",
Detective Alice Season 2,"Food, Mystery, Comedy, Romance",Kocowa
The Superman Age,"Comedy, Supernatural",
A Touch on Your Cheek,"Comedy, Romance, Fantasy",
Everybody Say Kungdari,"Life, Drama, Family",
Iron Lady Cha,"Comedy, Romance, Drama, Family, Melodrama",
"TV Novel: Waves, Waves","Family, Melodrama",
In Your Dream,"Romance, Drama",Prime Video
Uigeumbu,"Romance, Youth",
Color Prison,"Romance, Youth",
Miss Kim's Secret Life Season 2: Consumption,Comedy,
Artist Disappearance Case,"Adventure, Thriller, Mystery, Fantasy",
Translation-Needed Love Season 3,"Comedy, Romance",
Happy Talk Season 2,Comedy,
Lululala Pawn Shop,"Comedy, Fantasy",
Winter Vacation,"Romance, Youth",
Love Intern Choi Woo Sung,"Comedy, Romance",Vanilasee
The Reason I Hate You,"Comedy, Romance, Youth",Kocowa
Case Cell Division,"Business, Comedy, Romance",Apple TV
Hello Busking,"Comedy, Romance, Youth, Drama",
Secrets and Lies,"Business, Romance, Melodrama",
My Sister Season 2,"Youth, Family",CheezeFilm
Listen To Her Heart,"Romance, Drama",
Best Teamwork,"Romance, Life, Youth",
TV Novel: A Sea of Her Own,"Drama, Family, Melodrama",
Wanna Sleepover Season 2,"Romance, Drama",
Hororong Story,Comedy,
I Don't Care,"Thriller, Romance",KOK TV
You Are a Gift,"Romance, Drama, Melodrama",
Ply Friends: Seoyeon University Class of '22,"Romance, Youth",
Cheeze Go,"Life, Youth",CheezeFilm
Sweet and Salty Fairy,"Comedy, Romance, Youth, Fantasy",
Re: Search,"Life, Youth",
Hearts and Hari,"Horror, Comedy, Romance, Supernatural",Tooniverse
Twist Beauty,Drama,
Beautiful You,"Romance, Family",
Return Love,Romance,
A Double Table,"Comedy, Romance",
Usual Yet Unusual Season 2,"Romance, Drama",
Horror Monday,Horror,
Mr. Lee,"Mystery, Romance",Kakao TV
International Student Haha Introduction,"Comedy, Romance",
My YouTube Diary Season 2,"Comedy, Romance, Youth",Tooniverse
MBTI Love,"Romance, Youth",
My Boss Is a Million YouTuber,"Comedy, Drama",
Phoenix 2020,"Business, Romance, Drama, Melodrama",Viki
Usual Yet Unusual,"Romance, Drama",
Yeokkeuni Season 3,Life,
You Don’t Even Know The Taste of Americano,"Romance, Youth",
Bamboo Forest,Youth,
Translation-Needed Love,"Comedy, Romance",
To Be Honest,"Youth, Drama",KOK TV
LOVE-Imong Season 2,"Romance, Youth",
Do You Want to Play the Truth or Dare with Me? Reboot,"Comedy, Romance",
MU:D Vol. 1,"Romance, Drama",
Between Friends,Romance,
Ready for Start - Vol. 1,"Business, Comedy, Drama",
It Was Spring,"Comedy, Romance, Youth, Drama",
Love Security,"Thriller, Comedy, Romance",AsianCrush
A Guy Friend 14 Days Before,"Romance, Youth",
My YouTube Diary,"Life, Youth",Tooniverse
We Only See Each Other at Night,"Romance, Drama",
You I Didn't Know,"Comedy, Romance, Youth",Viki
I'm a Hero,Drama,
Sympathy,"Romance, Youth",CheezeFilm
Special Record on Earth,Drama,
Why Do Women Always Get Upset?,"Comedy, Romance, Life, Drama",
School of Start,"Youth, Drama",
Sweat Romance,Romance,
Sweat Romance Season 2,Romance,
A Special Meal of the Weirdo 'Nara',"Food, Historical, Drama",
Idol and I,Romance,
The Girls on the Phone,"Comedy, Life, Youth, Drama",
Always Springtime,"Romance, Drama, Family, Melodrama",
Witch's Castle,"Romance, Drama, Family, Melodrama",
Calm Down Cheon Doong,Drama,
Why Opposites Attract,,
Clumsy Love,"Romance, Youth, Drama",
Intern Z,"Comedy, Life, Drama",
I'm Not a Girl Anymore,Romance,
Aim High,"Youth, Drama",
Campus Freshman,"Comedy, Youth",
Lies of Spring,Romance,AsianCrush
Youn Hee's Love,Romance,
Office Record,Drama,
When the Apple of Eye Shattered,Comedy,
Yunseul,"Historical, Romance, Fantasy",
Jo Mi Ryo,"Food, Drama, Fantasy",
Bunny Bunny,"Adventure, Comedy, Fantasy",
Autumn Blossom,Romance,
Heroes,"Youth, Supernatural",Viki
Love on Green,"Comedy, Romance, Sports",
Begin Now,Romance,
"Revive Hope, Mister Go Yong",Drama,
Dance No.15,"Life, Youth",
"Oh, Yeojeong: Busan",Romance,
"Eat, Fight, and Live Together","Food, Romance",
We Are Alone,"Romance, Drama",
House of Kok,Comedy,KOK TV
VB Travel Agency,"Romance, Life",
A Successful Geek,"Comedy, Drama",
The Best Day,"Romance, Drama",
Yeokkeuni Season 2,Life,
Ongoing Loved One,"Romance, Youth, Fantasy",
Dream Change Laundromat,"Mystery, Romance, Fantasy",Prime Video
Wanna Sleepover,"Romance, Drama",
Campus Romance Today's Drinking Diary,"Comedy, Life, Youth",Vanilasee
Some Light,"Music, Romance",Kocowa
"Pro, Teen","Youth, Drama",
Straight Sassy,Comedy,
Do You Know Love?,"Comedy, Romance, Fantasy",Kocowa
My Lovely Caffeine,Romance,
Civil Service Exam Student,"Life, Youth",
Welcome to Amazon,Drama,
Something Music Season 2,"Music, Drama",
Cinema Club,Youth,
The Price of a Life,,
Kazua Library,"Thriller, Comedy, Supernatural",
One's Own Love,"Romance, Youth, Drama",
Yeokkeuni,"Romance, Drama",Vanilasee
From Classmate to Roommate,"Comedy, Romance, Youth",
Ask Miss Shin,"Drama, Supernatural",
"Yum Yum, How Tasty! 2",Food,Vanilasee
Paparazzi Girlfriend,"Comedy, Romance, Drama",AsianCrush
Scene and Box: Season of Love,Romance,
"Yum Yum, How Tasty!",Food,Vanilasee
I'm Watching You,Crime,
Fall In Love With Your Coffee,Life,
"City's Night, Star","Business, Romance, Drama",
New Recruit Season 2,"Military, Comedy, Drama",
Love is Actually With You,Romance,AsianCrush
Deoksaeng Reversal,"Youth, Drama",
The Supernatural Agent,"Thriller, Mystery, Fantasy, Supernatural",TVING
Null Maybe,Drama,
No Bad Days Season 2,"Romance, Drama",
"Yes, I See","Romance, Youth, Drama",
Sweaty House,,
Shall We Link Season 2,"Romance, Youth",
Secret Friend,Youth,
"Sure, Sure","Comedy, Romance, Drama",AsianCrush
Once Upon a Time in Gwangju,"Historical, Drama",
Living With a Ghost,"Horror, Comedy, Romance, Supernatural",
Shall We Link,"Romance, Youth",AsianCrush
Someday,"Romance, Youth",AsianCrush
Sugar Coating,"Romance, Life, Youth, Drama",
Cramped Love,Romance,
Scene and Box,"Romance, Youth",
The Birth of a Nation,"Comedy, Sitcom",
SM Culture Universe: aespa,Music,
Crash! Insignificant Reunion,"Comedy, Youth",
Problematic Detective Agency,Mystery,
Full Count,"Sports, Documentary",Disney+
The Secret of the Grand Mansion: The Missing Girls,"Mystery, Comedy",
Between Us,Romance,
Better Things,Sitcom,
KBS Drama Special 2023,Drama,Viki
"Oh, Yeojeong",Romance,
My Daughter's Just Like Me,"Drama, Family",
Stray Directors,Documentary,
Three Kingdom Wars - Imjin War 1592,"Historical, Documentary",
Smashing on Your Back,"Comedy, Sitcom",
We See Winter,Drama,
Welcome to Heal Inn,"Food, Life",
I Want to Live an Easy Life,"Comedy, Sitcom",TVING
Our D-Day,"Comedy, Youth, Drama",
Welcome to My Lab Season 2,"Romance, Youth",Tooniverse
My Love: Six Stories of True Love,"Romance, Drama, Documentary",Netflix
"Oh, Yeojeong: Summer","Romance, Life",
Oh My God! Tip Series 2,Romance,
The Driver,Drama,
Damn Good Company,"Business, Comedy",
Welcome to My Lab,"Romance, Youth",Tooniverse
Midnight Thriller,"Thriller, Drama",
Fork You Boss,"Food, Comedy, Life, Sitcom",Lululala Story Lab
Our Baseball,"Life, Drama, Sports",
A Film About Grooming,"Youth, Drama",
SPUNK,Drama,
Forever Young 2,"Comedy, Romance, Life, Drama",
Webtoon Hero - Tundra Show,Family,
Moonlight Sonata,Drama,
Fantasy Timing,"Life, Family",
Mukeo Bar,"Comedy, Life",
"No, Thank You Season 2","Comedy, Romance, Life, Drama",Viki
Fork You Boss Season 2,"Food, Comedy, Life, Sitcom",Lululala Story Lab
"Don't Swallow It Today, Too",Romance,TVING
Legend Hero,"Tokusatsu, Sci-Fi",
Oh My God! Tip Series 3,Romance,
We're Not Trash,"Psychological, Romance, Youth",KOK TV
My Mother Is a Daughter-In-Law,"Comedy, Drama, Melodrama",
Camellia,Political,
HOW-TO,"Comedy, Life",
Love Is Jungle,Romance,
Dream Maker,"Drama, Sci-Fi",TVING
Can You Deliver Time?,"Life, Fantasy",배티비 (BAETV)
"I'm a Mother, Too","Business, Romance, Family, Melodrama",
Political Fever,"Comedy, Sitcom, Political",Viki
Working Mom Parenting Daddy,"Comedy, Drama, Family, Melodrama",
Big Forest,"Comedy, Life, Drama",Apple TV
My Ex Diary,Romance,
Half-Fifty,"Comedy, Youth",
Why Opposites Attract Season 2,,
Somehow Family,"Romance, Drama, Family, Sitcom",Tubi
Welcome to the Lesbian Bar,"Romance, Life",
I've Got My Eye on You,Business,SBS VOD
Hip Hop King: Nassna Street,"Music, Youth, Drama",Apple TV
The Sensible Life of Director Shin,"Comedy, Romance",AsianCrush
Only You,Life,KOK TV
Just Too Bored,"Mystery, Business, Comedy, Romance",
Sometoon 2021,"Romance, Youth",
A DeadbEAT's Meal,"Food, Romance, Life",TVING
The Ordinary Life of Ms. 'O'! Season 3,"Comedy, Life",72sec TV
The Jingbirok: A Memoir of Imjin War,"Historical, Drama, Political",
To Me to You,Drama,
Return of Fortunate Bok,"Romance, Family, Melodrama",
Instant Romance,"Comedy, Romance, Drama",
I Hate Going to Work,"Business, Comedy, Life, Drama",
Noise,"Youth, Supernatural",
Beginning,"Comedy, Romance, Life, Youth",
Oh My God! Tip,Romance,
The Birth of a Married Woman,"Comedy, Romance",Viki
On the Campus,"Comedy, Youth",
Here Comes Love,"Romance, Drama, Family, Melodrama",
Poetry Story,"Comedy, Life, Drama",Kocowa
Mom,"Drama, Family",
The Ordinary Life of Ms. 'O'! Season 2,"Business, Comedy, Life",72sec TV
Do You Want to Eat?,"Food, Family",
What a Wonderful World,Life,
Youth Again,"Comedy, Family, Fantasy, Supernatural",tvN D STORY
Everyday Loves,"Comedy, Romance",
Everywhere and Nowhere,"Romance, Youth, Drama",
Man in the Shower,"Comedy, Romance, Life, Drama",AsianCrush
TV Novel: The Stars are Shining,"Historical, Romance, Drama, Family, Melodrama",
"I Love You, Loser!","Comedy, Romance, Life, Drama",
Cheongchunhyang Jeon,Romance,
BReal Bro&Sis,"Comedy, Drama",
Fall In Mulberry,"Food, Comedy, Romance, Youth",
Strange School Tales,"Mystery, Horror, Drama, Supernatural",Kakao TV
"Nineteen, Logout","Adventure, Youth",
Secret Crushes: Special Edition,"Romance, Youth, Drama",KOK TV
Horror Mailbox,Horror,
Hong Ik Super,"Mystery, Comedy, Romance, Supernatural",Apple TV
Re-Feel: If Only,"Comedy, Romance, Fantasy",
I Need Standards,"Comedy, Romance",
Friend and Kiss,Romance,CheezeFilm
2021 Summer Drama Collage: Monster Mansion,"Thriller, Mystery, Horror, Supernatural",
Sweet and Salty Office,"Food, Romance",
A Ticket to India,"Adventure, Comedy, Romance",
Irish Uppercut,"Food, Comedy, Drama, Fantasy",Viki
Doo Teob's Pretty Easy School Life,"Life, Youth",Lululala Story Lab
Oh My Captain,"Military, Comedy, Romance, Drama",
"380,000 km Between You and Me","Comedy, Romance",
Ugly Miss Young Ae Season 14,"Comedy, Drama",
"Not Alright, But It's Alright: Pilot",Life,
Justice Team,"Mystery, Law, Drama",
Virtual Excitement,Romance,
Arim Inn the Forest,"Romance, Life",Viki
Soul Driver,"Mystery, Fantasy",Viki
Farming Academy Season 2,"Romance, Life, Youth",Kocowa
Time of Miracle: Loss Time,"Comedy, Drama",
Room Of Her Own,"Life, Youth",
Rudyteen,"Romance, Youth",
Time to Be Together 1:11,"Music, Romance, Youth",
Tell Me You've Changed,"Romance, Drama",
You Will Love Me,"Comedy, Romance, Drama",
X-Garion,Tokusatsu,
SURF 101: Intro to Romance,"Comedy, Romance, Youth, Sports",
Nara's Marvelous Days,"Comedy, Romance, Life, Drama",
Jump! Jump! Jump!,"Music, Comedy, Romance",Tubi
My Old Friend,"Comedy, Life, Youth, Drama",
Shinjikki,"Romance, Drama, Fantasy",
Heart.zip,Romance,
Travel Through Romance Season 1.5,"Food, Adventure, Romance",
How to Deal With First Love,"Romance, Youth",
Secret Crushes Season 3,"Romance, Youth, Drama",
I Know Because I've Tried It,Comedy,
Short Paper,"Romance, Youth",
Shining Na Ra,"Comedy, Youth, Fantasy",Tooniverse
Sandwich Theory,Romance,
Victory For Tomorrow,"Romance, Life, Drama, Family",
Mood Maker,"Comedy, Romance",
The Return of Hwang Geum Bok!,"Drama, Family, Melodrama",
Secret Crushes Season 2,"Romance, Youth, Drama",
The Dearest Lady,"Romance, Drama, Family, Melodrama",
"Drink, Sing and Dance Season 2","Comedy, Romance, Youth",
Office Watch Season 2,"Comedy, Romance, Drama",KBS World
Third Person Dating Perspective,Romance,
Tell Me Sick,"Drama, Medical",
Short Paper Season 3,"Comedy, Romance, Youth",
Ugly Miss Young Ae Season 16,"Comedy, Romance, Life",
Ugly Miss Young Ae Season 17,"Comedy, Life, Drama",
No Bother Me,"Romance, Youth",
In-Out Sider,"Comedy, Romance, Supernatural",
Sweet 20,"Romance, Youth",
Ugly Miss Young Ae Season 15,"Comedy, Romance, Life",
Because It's My First Time,"Comedy, Romance, Life",
Natural Romance,"Comedy, Romance",
The Ordinary Life of Ms. 'O'!,"Comedy, Life",AsianCrush
Our Love Story,"Romance, Life, Drama",Dingo K-Drama
A Bird That Doesn't Sing,"Romance, Drama, Family, Melodrama",
Short Paper Season 2,"Comedy, Romance, Life, Youth",
Cha Ta Gong In,"Life, Youth, Drama",
Heart Way,"Romance, Youth",
Do With All Your Heart Today,"Romance, Drama",
The Secret House,"Thriller, Romance, Drama",Wavve
Have a Good Neighbor,"Romance, Drama",
Oh! Dear Half-Basement Goddesses,"Comedy, Drama, Fantasy, Supernatural",iflix
Can Love Be Refunded,"Comedy, Romance",Viki
TV Novel: In Still Green Days,"Historical, Romance, Drama, Family",
One-Dimensional,"Life, Youth",
Daily Moon's,"Romance, Youth, Drama, Fantasy",
Haengbok 100 km,Comedy,
"The Woman Next Door, the Man Next Door","Comedy, Romance, Drama, Sitcom",
"Drink, Sing and Dance","Comedy, Romance, Youth",
LOVE-Imong,"Romance, Youth",
TV Novel: My Mind’s Flower Rain,"Romance, Life, Drama, Melodrama",
Wild Guys,"Comedy, Romance, Supernatural, Sitcom",tvN D STORY
Yoo Mi's Room,"Comedy, Romance, Drama, Sitcom",
You and Me,Romance,
Blessing of the Sea,"Comedy, Romance, Melodrama",
Yeonnamdong 539,"Comedy, Life",
The Police,"Mystery, Crime, Youth, Drama",
My Heart Flutters,"Romance, Youth",
"Hello, Stranger","Romance, Life",PlayList Global
Cat Chef,Food,
TV Novel: That Sun in the Sky,"Romance, Drama, Family, Melodrama",
Biggest Fan,"Romance, Youth",
Mr. Hashtag Season 2,"Comedy, Life, Youth",
Out of this World Girlfriend,"Thriller, Comedy, Youth, Sci-Fi",KOK TV
Secrets of Women,"Romance, Drama, Melodrama",KBS World
Room of Romance,"Romance, Drama",WHYNOT TV
Perhaps Love?,Romance,
Romance Bible,Romance,WeTV
Enchanting Neighbor,"Romance, Family, Melodrama",
"Why, All of a Sudden?",Comedy,
I'm Done,"Comedy, Youth",
Sleepless in Love,"Romance, Youth",
First Love Story Pilot,"Romance, Youth",
Turned on by You,Romance,
Bio Homme,"Psychological, Life, Drama",
Deux Yeoza,"Comedy, Life",AsianCrush
Benton,"Romance, Youth, Drama",
Chart Running Scholar,"Romance, Fantasy",KOK TV
Backflow,"Romance, Drama, Family, Melodrama",
Man Goddess,"Comedy, Romance, Youth, Fantasy",CheezeFilm
Idol in My Living Room,"Romance, Youth, Melodrama",Wavve
Bad Love,"Romance, Drama, Melodrama",
Power Rangers Dino Force Brave,"Action, Tokusatsu, Sci-Fi",
"Suddenly, Mood, First Love","Romance, Life, Youth",
Amor Fati,"Romance, Drama",Viki
I'm Sorry Kang Nam Goo,"Romance, Drama, Melodrama",
The Secret of Secret,"Youth, Drama, Sports",
2PM Campus,"Romance, Youth, Drama",
Meal Kid,Food,
Miracle Girl,"Adventure, Mystery, Fantasy",
Twin,Drama,
Short Paper: Side Story,"Romance, Youth",
Moment,"Comedy, Romance",
New Recruit,"Military, Comedy",TVING
Kim Is a Genius,"Drama, Fantasy",
As Your Heart Tells,"Comedy, Romance, Youth",
Mobilize! K-Cop,"Tokusatsu, Sci-Fi",
Travelogue,"Romance, Youth",
Love Vlog,Romance,
Love Campus,"Comedy, Romance, Youth",
Cheonglywood,Adventure,KOK TV
Turned on by You Season 2,Romance,
My Wonderful Roommate 2,"Business, Romance",
Girls' Love Story,"Comedy, Romance",
Love Your Korea Glow,"Business, Romance",
"Shh, Please Take Care of Him","Comedy, Drama, Melodrama",
A Twist Girl,"Youth, Supernatural",
I Want to Do It with You,"Romance, Life, Drama",
Two Universes,"Romance, Drama",TVING
Yeonnam Family,Romance,Kocowa
Love of Eve,"Romance, Drama, Melodrama",
My Ahjussi Kkon Dae Hee,"Comedy, Life",
Number Woman Gye Sook Ja,"Comedy, Romance",
No Bad Days,"Romance, Life",
The Dolphin in the Little Mermaid,"Life, Youth",
Travel through Romance,"Food, Adventure, Romance",
Mr. Hashtag,"Comedy, Life, Youth",AsianCrush
Almost Famous,"Romance, Life",
"Everyone, at Least Once","Romance, Drama",
The Secret of My Love,"Romance, Drama, Family, Melodrama",KBS World
Girl in the Mirror,"Youth, Drama",
3 AM Season 2,"Life, Drama",
Translation-needed Love Season 2,Romance,
Some Air,Romance,Tubi
72 Seconds,"Comedy, Romance, Life",AsianCrush
Wannabe U,"Music, Life, Youth",
The Pure Memories of My Heart,Romance,Tubi
Want a Taste?,"Food, Romance, Drama",
Romance Written Differently,"Comedy, Romance, Life",
The Success Story of Novice Shaman Gong,Comedy,
"AI, Her","Thriller, Sci-Fi",
Summer Vacation,"Romance, Youth, Drama",
TV Novel: Dal Soon's Spring,"Drama, Family, Melodrama",
What Happened to Mirae?,"Romance, Drama, Fantasy",
"Reply Pyeongchang, 100°F","Youth, Drama, Sports",Viki
The Witch's Eye,"Romance, Drama, Fantasy",
Teacher Oh Soon Nam,"Life, Youth, Drama, Melodrama",
Moonlight Girls' High School,"Life, Youth",
Living Together at Seventeen,"Romance, Youth",
All the Love in the World,"Romance, Life",
Is There Equation in Love?,Romance,
Luv Pub: Pilot,"Romance, Life, Youth, Drama",
Let's Make a New Start,"Romance, Drama, Family, Melodrama",
Madam Cha Dal Rae's Love,"Comedy, Romance, Family, Melodrama",
Riding Dongdang,"Comedy, Youth, Sports",KOK TV
Secret Crushes,"Romance, Youth, Drama",
Blue Temperature,"Romance, Youth",KOK TV
You & It,"Romance, Sci-Fi",
Travel Through Romance Season 2,"Food, Adventure, Romance",
I Need Standards 2,"Comedy, Romance",
Anonymous High School Girl,"Mystery, Romance, Youth, Drama",
Afternoon in a Small City,Comedy,
Horror Delivery Service,"Mystery, Horror, Supernatural",AsianCrush
Genome’s Romance,"Comedy, Romance",Viki
"Teacher, Would You Like to Date Me?","Romance, Youth, Drama",
Youtuber Class Season 2,"Life, Youth",KOK TV
Starting Point of Dating,"Comedy, Romance, Youth",
Cheers to Me,"Food, Life",AsianCrush
72 Seconds Season 2,"Comedy, Romance, Life",
Thumbs Up Feeds Me,"Comedy, Drama",Lululala Story Lab
Deux Yeoza Season 2,"Comedy, Life",
First Love Again,"Romance, Drama, Family, Melodrama",KBS World
Idol Fever,"Comedy, Romance, Drama, Melodrama",
Convenience Store Junkies,Drama,
I:LOVE:DM,"Romance, Youth",
Bubble Up,"Romance, Life, Youth, Drama",Viki
SF8,"Romance, Sci-Fi, Fantasy",Wavve
Cast: The Golden Age of Insiders,"Comedy, Youth, Drama, Sitcom",tvN D STORY
Don't Worry Apricot,"Youth, Fantasy",
My Ghost Brother,"Comedy, Romance, Fantasy",
Good People,"Life, Drama, Family, Melodrama",
Life Tracker Lee Jae Goo,"Law, Drama, Family",
20+1,Drama,
Mumul Zzumul,"Youth, Drama",
My Rocket Ship,"Business, Life, Youth, Drama",
Great First Wives,"Drama, Family, Melodrama",
Save Me Oldie,"Comedy, Drama",
Me and My Grantopia,Sci-Fi,tvN D STORY
"Life of Jung, Lee, Ro, and Woon","Life, Political",
A Model Student,"Crime, Life, Drama",